filename,source_url,license,sha256
address-book.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/address-book.svg,CC BY 4.0,4e0a11bd39ef12e8378f72470fcfa06e81fd2db5dc4876e97cb860cac75c03d6
anchor.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/anchor.svg,CC BY 4.0,6bcbffc09d94c1e15fb1a98c61c3c2fdcc9a783359b3502638566e3081435d47
apple-whole.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/apple-whole.svg,CC BY 4.0,74999363eb45ccc842adbc91bec85fbbc650d4b5f8f24ce00f4e7806112df1b9
archway.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/archway.svg,CC BY 4.0,b536834d77c349eb0b887bdcf4375c857654687a146ade162ce7db045e6c77c1
award.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/award.svg,CC BY 4.0,57d3a4011654074fb480ce473120a4599a695bf3934755f41fc6beea848ab77e
baby.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/baby.svg,CC BY 4.0,4189f9779224328cf74a7b21c519a1f2111174ba5dd295db3e82ad40a04b820e
bicycle.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/bicycle.svg,CC BY 4.0,4f6b6a55931fbdb2f95ea265c62e73f82eaac3738970340fab935ff525c6d346
binoculars.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/binoculars.svg,CC BY 4.0,7ec6f1248761f40f79bce33ca71d7b50a74895711145feac1473d29e1e4f0932
crow.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/crow.svg,CC BY 4.0,1d1eef7b9960912961f11d1330aae10d82f4e98a994724431bfd998aaa4bb57d
bolt.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/bolt.svg,CC BY 4.0,97b50ae5f318c38f458a973698fbdd9db6ab108da93ba7dc64129f554fccbc8e
bone.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/bone.svg,CC BY 4.0,36ce0c02386e67785d4707c3b8f89e0b79ec086483242874e7edbc922e70a0f3
book.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/book.svg,CC BY 4.0,0bd141289c180f97f6be80d5eb3e69e2a85b980ecb221f1100a3cfd26dff303f
bookmark.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/bookmark.svg,CC BY 4.0,aeec76834d8f29c638cd2b08c751c33bbbadf3fe752969edec7fc04a3738d8bd
briefcase.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/briefcase.svg,CC BY 4.0,029481c0206caecb750c9821a4e6c1e1bfd0b7bdc6d4a564de4f6ac29497c904
bug.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/bug.svg,CC BY 4.0,8809e4c06c33834b9c2de559277e14d6af6302c37ccf4f86c796711a658e0d7a
building.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/building.svg,CC BY 4.0,b8c134fcef8441a86feaa41d00fe947b3b9cbf961a07e862e7cf36678527a796
bus.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/bus.svg,CC BY 4.0,bc693bff3bb798eff393c5b1db6b071295670432a54027ced28371c7a9135c60
cake-candles.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/cake-candles.svg,CC BY 4.0,12994b8b5e7e82cd8c06317c51ed04e320fc0a73567f25a6e12d6801a34be013
camera.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/camera.svg,CC BY 4.0,abcbb986e5136761b8d2370c8d17c730729d5183e56ca97dd2ace7bff30ef775
campground.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/campground.svg,CC BY 4.0,7c96f04e546bde50f8253102a0ba5aa01ae0e90b33ed363b3393bc60a0de7917
car.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/car.svg,CC BY 4.0,363fec6d0e5c957415b1631297e628a4df746c15ed833a8eb74466708248dd72
cat.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/cat.svg,CC BY 4.0,1d24628f9305277755a3368e67b7513e6a1727aa2f170cc7588b9d14cf0a5d89
chair.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/chair.svg,CC BY 4.0,d7783a502b133d0c2ce835785af179214b9d3928aa1306d76fb6c4aa99bfb6b8
church.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/church.svg,CC BY 4.0,9a312d32c718a10b63ed589d828e68a2ad6730b743a63559d741b376ef99ddb6
circle.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/circle.svg,CC BY 4.0,71e0b574da07cba4f7e216a482a539696d7b0156539d6813828943c86802cdbb
city.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/city.svg,CC BY 4.0,0f5704c763a391119fbb015c6cd6c5888749bc46629de8eeb1b35ff6267a3813
cloud.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/cloud.svg,CC BY 4.0,d83a8106829fb85b446ee244867130df08a2b45754cc12f24fe69cf742455623
clover.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/clover.svg,CC BY 4.0,c42857a5e36ef369cbc696f9f682da7ecf912bf939bada74c744c9db75d1ef52
coffee.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/coffee.svg,CC BY 4.0,d7c52080cde56b3b999daa6d5c5b3a8c27a644a7467d7befa9c8636af3a9b3bc
compass.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/compass.svg,CC BY 4.0,751cd0d69bc9adc5a06e9a01e60d78d5fd554afb953b24d595baa0ac550b284f
computer.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/computer.svg,CC BY 4.0,18190d6e523f4c50ad156a0f1b9981162fa80890e629e97f418663e7150348ce
cookie.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/cookie.svg,CC BY 4.0,5bbeb23ad5da05822c9454270c0c501b5dc0d3dde97d7b7eff67b013572221c8
cow.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/cow.svg,CC BY 4.0,d786f6ff2e563d2ba1a5bd251790d1cdc98e5dc8951a2a5ff05d77ec5fff80b9
crown.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/crown.svg,CC BY 4.0,a56ebf7d8439b8122bde1d3a833716e733d95f68f19812ca9aa33f51acabe497
dog.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/dog.svg,CC BY 4.0,601719b50f5b22048519ceed471a3335131cf162c5db7e7d083d18317240fe70
dove.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/dove.svg,CC BY 4.0,e90db359233a5a342faae78a5e92d0627fbf21f2d6baff69010a09200321d4e1
dragon.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/dragon.svg,CC BY 4.0,442cd712f746d7ff3f336e5f706add5737b494223e0ad497549e0cff69eed834
droplet.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/droplet.svg,CC BY 4.0,4acf51a34dea6bb4633bf1afc3465bf9bb3a198b9b56127a992fe04ab023aa5b
dumbbell.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/dumbbell.svg,CC BY 4.0,fdae0b17eafa08fdb848a3995f8d6e9145f78b5c684ee60f9ce7b8fd251aacd2
earth-americas.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/earth-americas.svg,CC BY 4.0,6e8cdd0449f6c4d637d5fd20f96f7a2b4ddd5d2f85df1eebd84179c26388ad58
envelope.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/envelope.svg,CC BY 4.0,7410667851787a16e73be1e3c00dd8b196ce170594356491e1a3c993d37999f0
eye.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/eye.svg,CC BY 4.0,72056225536df72f6a3ec5baee16d04491ef06019830f7b622de642f07858b7e
fan.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/fan.svg,CC BY 4.0,a6dfa3e6e066c8ab03aa5f9985a4259e3d8410d33ddddd0cc02d5fdea8f3f8fd
feather.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/feather.svg,CC BY 4.0,ef7960e95d68a8d1f04fdca444d844df6f55cada29a5cbbfb78f56ee3dc3a8b1
fish.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/fish.svg,CC BY 4.0,606bfc8fac58fd06cd97153208ec4d6e9aecbfa20b2acfabda51689c8dd98e4a
flag.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/flag.svg,CC BY 4.0,98d7423036173ccdc684c7019f4cb976492d2a83acdf0f5015af8ac303354945
flask.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/flask.svg,CC BY 4.0,4064c8419861d424de0e636d6ddc046aed991b31fe807a9c63dbc8903197c5e6
seedling.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/seedling.svg,CC BY 4.0,3e19f92c33c62400c77b31163764006338c6e9bea818191c16d48fbe88bf0563
frog.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/frog.svg,CC BY 4.0,c59d65c2521c65ee192ba0ae9fa8e7dfeacad17edfcd6d36c9676c6501571ee5
